order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD021989,ID0591408809,2019-09-22,Nickolson,"[('pearTV', 2), ('Candle Inferno', 2), ('iAssist Line', 1), ('Universe Note', 1)]",19155.0,84.06,-37.81977360000001,144.9613752,25,14450.31,Spring,True,0.7308,did not last long barely a month after getting phone it no longer works. recent software updates have made the phone unusable. makes me think there was underlying issues with phone itself.,False
ORD365253,ID0331420064,2019-01-27,Bakers,"[('Alcon 10', 1), ('iStream', 1), ('Toshika 750', 2)]",17740.0,62.75,-37.8203354,145.0017179,5,16915.75,Summer,False,1.2845,microphone not working! people on the other end can't hear me unless i am on speaker phone. i am very unhappy that this was not tested before it was sent considering this is a phone first before anything else,False
ORD203552,ID4418536080,2019-02-25,Thompson,"[('Toshika 750', 2), ('Olivia x460', 1)]",9865.0,84.15,-37.80257520000001,144.96326969999996,25,7482.9,Summer,False,1.8149,None,True
ORD424967,ID0506049858,2019-11-10,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 1)]",4750.0,60.56,-37.8156604,144.9389514,15,4098.06,Spring,False,0.7875,"the phone wont come on i have only had the phone for 1 month, and the phone wont come on anymore.",False
ORD129758,ID5096779239,2019-12-29,Nickolson,"[('iAssist Line', 1), ('Olivia x460', 1), ('pearTV', 1), ('Universe Note', 2)]",16660.0,103.42,-37.8012019,144.96992930000005,15,14264.42,Summer,True,1.9364,"absolutely beautiful phone!! item came on time and functions perfectly, i would definitely recommend this to anyone looking for a sweet budget phone.",True
ORD431437,ID1985549822,2019-01-24,Nickolson,"[('pearTV', 2), ('iStream', 1), ('Alcon 10', 2)]",30670.0,78.36,-37.806913,144.96578269999995,0,30748.36,Summer,False,1.342,very good love it,True
ORD047752,ID0248746919,2019-02-03,Bakers,"[('iStream', 2), ('Universe Note', 2), ('Olivia x460', 1), ('Thunder line', 1)]",10605.0,77.27,-37.8220427,144.9945849,5,10152.02,Summer,False,1.3422,bought the 2nd infernostick for bedroom. easily installed and set up. works great,True
ORD199861,ID6167489370,2019-08-11,Thompson,"[('iAssist Line', 1), ('Candle Inferno', 2), ('iStream', 2), ('Alcon 10', 2)]",21285.0,62.95,-37.8119098,144.9577056,0,21347.95,Winter,True,0.9393,one star quit working after 3 months!!,False
ORD322556,ID0036824712,2019-12-25,Thompson,"[('iStream', 1), ('Universe Note', 1)]",3600.0,98.99,-37.8252426,144.9483362,5,3518.99,Summer,True,1.4036,five stars super phone,True
ORD225962,ID0377544273,2019-05-07,Thompson,"[('Lucent 330S', 2), ('Olivia x460', 1), ('iAssist Line', 2)]",8135.0,78.42,-37.814846,144.94589030000003,25,6179.67,Autumn,True,0.2631,"great phone for a great price. much better looking in person, essentially the mocha brown version. performance is superb and the camera quality is excellent. thank you huawei, and please keep the updates coming for many years down the road.",True
ORD364116,ID0591408086,2019-11-03,Nickolson,"[('Candle Inferno', 2), ('Lucent 330S', 1), ('Universe Note', 2)]",8990.0,76.62,-37.8212464,144.9613796,15,7718.12,Spring,False,0.7768,nice nice fone,True
ORD049067,ID0307350280,2019-03-01,Thompson,"[('Lucent 330S', 2), ('pearTV', 2), ('iStream', 2)]",15380.0,53.01,-37.8040232,144.9586426,5,14664.01,Autumn,False,1.4012,"this phone will not work with an existing ""post paid"" ... this phone will not work with an existing ""post paid"" account. i bought this and now have no use for it. make sure you know what you're buying.",False
ORD105384,ID0591429491,2019-08-03,Nickolson,"[('Toshika 750', 2), ('Alcon 10', 2), ('Universe Note', 2), ('iStream', 2)]",33740.0,76.47,-37.8182266,144.9651144,10,30442.47,Winter,True,0.3923,"best thing ever! absolutely love this phone! its like a pda, a bb, and an android got together and made whoopee! love it!",True
ORD141248,ID1594632446,2019-07-25,Nickolson,"[('Toshika 750', 1), ('Alcon 10', 1)]",13270.0,61.66,-37.8206179,144.9791298,25,10014.16,Winter,True,0.8719,"lucentrola cada vez peor se rompió la batería a los días, y no me reconocieron la garantía.",False
ORD119765,ID2187874240,2019-10-17,Nickolson,"[('pearTV', 2), ('Alcon 10', 2)]",30520.0,59.89,-37.8154287,144.9665185,5,29053.89,Spring,False,0.442,"not what i was expecting :l windows market haws little to no apps, the phone settings are very limited and no phone music application. also my screen broke already :c",False
ORD402646,ID0846567658,2019-09-14,Nickolson,"[('Universe Note', 2), ('Olivia x460', 1)]",8125.0,60.07,-37.8233768,144.969933,5,7778.82,Spring,False,0.5334,one star very bad..camera not worked,False
ORD163482,ID1492350748,2019-10-28,Thompson,"[('Candle Inferno', 1), ('Universe Note', 2), ('iStream', 1), ('pearTV', 1)]",13790.0,70.41,-37.8019874,144.9637507,0,13860.41,Spring,False,1.8888,two stars we keep having to reboot phone because screen is unresponsive,False
ORD155932,ID3106294935,2019-03-10,Thompson,"[('Olivia x460', 2), ('Thunder line', 1), ('Universe Note', 1)]",8080.0,67.17,-37.806442,144.93223490000003,0,8147.17,Autumn,False,1.4775,"five stars phone works perfectly thus far, no issues at all.",True
