order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD411622,ID2189398750,2019-07-14,Nickolson,"[('Alcon 10', 2), ('iStream', 2)]",18200.0,67.51,-37.8096182,144.9757119,15,15537.51,Winter,False,1.1367,five stars great phone. great battery life. love that it still has an earphone jack.,1.0
ORD225904,ID0387921009,2019-03-04,Nickolson,"[('iAssist Line', 1), ('Thunder line', 2), ('Candle Inferno', 2), ('iStream', 1)]",7595.0,49.7,-37.82071610000001,144.9630537,5,7264.95,Autumn,False,0.6182,issues connecting to wifi it will not connect to our wifi. i've been reading in forums and a lot of people are having this problem. i've checked router settings and nothing has worked.,0.0
ORD282794,ID0368376892,2019-07-10,Bakers,"[('iStream', 2), ('Thunder line', 2), ('Alcon 10', 2), ('Candle Inferno', 1)]",22990.0,69.05,-37.8028956,144.9811904,10,20760.05,Winter,False,1.4662,good phone good phone good battery too,1.0
ORD019827,ID0575572038,2019-06-03,Nickolson,"[('iAssist Line', 1), ('Candle Inferno', 1)]",2655.0,,-37.8244833,144.97998930000003,15,2323.59,Winter,False,1.1279,misfer very nice i recommend buying from the seller 👍⁦❤️⁩,1.0
ORD041563,ID0580320373,2019-03-13,Thompson,"[('Candle Inferno', 1), ('iStream', 1), ('iAssist Line', 1), ('Alcon 10', 1)]",11755.0,86.33,-37.8042953,144.91723159999995,10,10665.83,Autumn,True,2.7849,good phone i love this phone.,1.0
ORD349784,ID4996764095,2019-12-03,Thompson,"[('iAssist Line', 2), ('Thunder line', 1), ('iStream', 2)]",6930.0,92.13,-37.8114227,144.953507,25,5289.63,Summer,True,0.583,"awesome phone. very nice oled display. awesome phone. bought one of these in 2015. then changed it for the next gen version (pure edition). now my mom is using it, battery performace dropped drastically (as expeted) but besides that it still working very very good.",1.0
ORD480032,ID6167357843,2019-01-15,Nickolson,"[('Lucent 330S', 2), ('Candle Inferno', 2), ('iStream', 2), ('Olivia x460', 2)]",6070.0,77.66,-37.8075276,144.97136,10,5540.66,Summer,False,1.2422,"great phone for the price screen, features, great battery life, beat budget phone",1.0
ORD083338,ID3961293506,2019-10-31,Nickolson,"[('Olivia x460', 2), ('Universe Note', 2), ('Alcon 10', 1)]",18300.0,105.86,-37.8077478,144.9629014,5,17490.86,Spring,True,1.3416,"love everything!! nothing bad, love it.",
ORD281547,ID2288769426,2019-08-16,Bakers,"[('Alcon 10', 2), ('Candle Inferno', 1)]",18330.0,80.07,-37.8018074,145.0041975,10,16577.07,Winter,True,1.2053,reaction to purchase i got the phone and everything works so far. i am currently spending time with it to check out all areas and aspect but everything seems to be as good as new. there is only a 4 star rating because i wanted to get the earphone with it but other than that it was a good buy.,1.0
ORD457764,ID1492150946,2019-09-23,Thompson,"[('Lucent 330S', 2), ('iStream', 2), ('Olivia x460', 1)]",3985.0,100.99,-37.8150163,144.9523001,5,3886.74,Spring,True,0.5288,five stars phone is great. haven't had any problems.,1.0
ORD306913,ID0571731120,2019-06-10,Thompson,"[('Candle Inferno', 1), ('pearTV', 2)]",13050.0,64.59,-37.8244364,144.9435555,10,11809.59,Winter,True,1.3454,this is not an unlocked phone. this is not an unlocked phone. it was a sprint phone that was factory reset.,0.0
ORD087650,ID1879216504,2019-11-02,Thompson,"[('Candle Inferno', 2), ('Universe Note', 2)]",7760.0,112.79,-37.7996159,144.9636541,0,7872.79,Spring,True,2.0592,worth the money! awesome deal!,1.0
ORD081193,ID0055931060,2019-12-07,Thompson,"[('iAssist Line', 2), ('Lucent 330S', 1)]",5680.0,51.1,-37.8117769,144.9461149,5,5447.1,Summer,False,0.1304,phone sucks! 😥 i'm not impressed. it is a window cell phone. it's hard to get apps. and the battery only last for a few hours. phone sucks! 😥,0.0
ORD443265,ID0579989632,2019-04-24,Thompson,"[('Olivia x460', 2), ('Candle Inferno', 2), ('Alcon 10', 2)]",21210.0,81.18,-37.80492720000001,144.9394914,25,15988.68,Autumn,True,1.0898,"olivia universe s4 i glad i changed from the i-phone, the universe phone was priced right, has a larger screen, lighter and easier to use",1.0
ORD022061,ID0723975301,2019-04-16,Bakers,"[('iStream', 2), ('iAssist Line', 1), ('Thunder line', 1)]",4705.0,81.81,-37.8109175,145.00986909999997,5,4551.56,Autumn,True,1.2913,"looked brand new the phone was in excellent working condition, but it arrived with cracked screen caused during shipping. even with the cracked screen. the phone looked and worked great. i returned to buy another.",1.0
ORD024262,ID6167489365,2019-09-28,,"[('Alcon 10', 1), ('Candle Inferno', 2), ('Lucent 330S', 1), ('Olivia x460', 2)]",13490.0,76.12,-37.8119981,144.9568429,10,12217.12,Spring,False,0.8628,"good seller, will buy again a++++ i am glad i got the phone from this seller. as expected.",1.0
ORD365452,ID0635530497,2019-02-14,Thompson,"[('pearTV', 1), ('Alcon 10', 2), ('iStream', 2), ('Olivia x460', 2)]",26960.0,67.49,-37.8127424,144.9434419,10,24331.49,Summer,False,0.3191,it’s good great,1.0
ORD159864,ID0310957682,2019-11-18,,"[('Lucent 330S', 2), ('Candle Inferno', 1)]",2890.0,84.91,-37.8217368,144.93069509999995,5,2830.41,Spring,False,1.7582,review excellent product,1.0
ORD353672,ID0202498544,2019-09-29,Thompson,"[('Olivia x460', 2), ('Alcon 10', 1)]",11400.0,116.23,-37.80134570000001,144.9174425,10,10376.23,Spring,True,2.8947,"it's easy to use i got one for my mom,it's easy to use,works great.",1.0
ORD335756,ID6167417896,2019-02-15,Thompson,"[('Candle Inferno', 2), ('Lucent 330S', 2), ('iStream', 2), ('iAssist Line', 2)]",8070.0,91.16,-37.81668629999999,144.954276,0,8161.16,Summer,True,0.7754,excellent product! absolutely love it! have been using it for 4 months and it's really the best!! great features and at an awesome price tag.,1.0
ORD430102,ID0030947263,2019-08-15,Nickolson,"[('Lucent 330S', 1), ('Alcon 10', 1), ('pearTV', 2)]",22800.0,54.65,-37.8036161,144.9704513,10,20574.65,Winter,False,1.6693,"since i am not sure of the cause:(( supposed to be an unlocked gsm phone,but after activating it with straight talk just says requires code to use on service.! used code i setup i presume i either need the right code from att,xp or strtaight talk(i have 4 try left :()",0.0
ORD394041,ID4804855254,2019-08-19,Thompson,"[('Toshika 750', 2), ('Candle Inferno', 2), ('iStream', 2), ('Thunder line', 1)]",11980.0,52.93,-37.7990648,144.9454199,10,10834.93,Winter,False,1.5218,"this phone is an absolute hunk of garbage! i am on the fourth phone in three ... this phone is an absolute hunk of garbage! i am on the fourth phone in three months, three of those in the last three weeks. microphone goes out and no one on the other end can hear r what you are saying. stay away!!!!!!",0.0
ORD363854,ID3144992697,2019-08-05,Bakers,"[('Candle Inferno', 1), ('pearTV', 1), ('Toshika 750', 1)]",11060.0,65.86,-37.8147435,144.9875053,25,8360.86,Winter,False,0.8608,tuve una duda y respondieron muy rápidamente. todo funciona ok,1.0
ORD278418,ID2850399839,2019-07-20,Thompson,"[('Lucent 330S', 2), ('Toshika 750', 2), ('Thunder line', 1), ('pearTV', 1)]",19590.0,62.39,-37.81472700000001,144.9539234,5,18672.89,Winter,False,0.6447,not compatible with verizon or sprint working great so far,1.0
ORD211842,ID6167441037,2019-01-29,,"[('iStream', 2), ('pearTV', 1)]",6610.0,96.27,-37.8102441,144.9614737,0,6706.27,Summer,True,1.1699,excellent phone for the money excellent phone for the money. camera is sharp. design is sleek in my opinion. very happy with this phone.,1.0
ORD163951,ID0368389680,2019-05-21,Nickolson,"[('Lucent 330S', 1), ('Universe Note', 1)]",4680.0,70.05,-37.8031679,144.9734487,25,3580.05,Autumn,False,1.7512,the batteries last longer nice cellphones.,1.0
ORD407519,ID2189358931,2019-09-10,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 1), ('iAssist Line', 2)]",13520.0,80.4,-37.8078627,144.9768469,15,11572.4,Spring,False,1.3561,"thank you thanks for the item, its great",1.0
ORD430460,ID4419686624,2019-04-27,Thompson,"[('iAssist Line', 2), ('Candle Inferno', 1), ('pearTV', 1), ('Alcon 10', 1)]",20140.0,84.34,-37.8017591,144.96320469999995,25,15189.34,Autumn,True,1.8681,great value of money. excellent product in the price range. overall good but low light camera is not convincing. still a very good buy.,1.0
